pzplus名称	收录?	英文名	中文名	周	分类		规则
wittgen	1	Wittgenstein Briquet	三格长桌	2	涂黑II	色块是桌子	在盘面内放置一些互不重叠的1×3的长方形（表示桌子）。桌子不能覆盖数字格。数字表示与之相邻的（至多）四格中被桌子覆盖的格子的个数。所有不被桌子覆盖的格子需要连通成一个整体。
nuribou	1	Nuribou	数壁	2	涂黑II	黑白规则交替	涂黑一些空格，使得每一组连通的留白格恰好包含一个数字。每一组连通的涂黑格必须是一个长或宽为一的长方形，而且互相接触的两组涂黑格面积不能相同。数字表示其所在的留白的连通组格数。
isowatari	0.8	Isowatari	渡池石块	2	涂黑II	色块是nmino	涂黑一些格子，使得每个涂黑的连通组均为N格骨牌（其中N是盘面右上角给定的数），且留白的格子连通成一个整体。有黑圈的格子必须涂黑，有白圈的格子必须留白。不能有全部留白的2×2结构。
lightshadow	1	Light and Shadow	黑白分明	2	涂黑II	黑白规则交替	涂黑或涂白所有格子，使得每一组连通的涂黑格中恰有一个黑数字（且没有白数字），而每一组连通的涂白格中恰有一个白数字（且没有黑数字）。圆圈里的数字表示其所在的涂黑或涂白的连通组的面积。
mochikoro	1	Mochikoro	藕断丝连	2	涂黑II	色块是矩形	涂黑一些空格，使得没有全部涂黑的2×2结构。所有留白格必须对角连通成一个整体，且每一组连通的留白格必须是一个长方形。每一组连通的留白格至多包含一个数字。数字表示其所在的留白的连通组格数。
cornerch	0.8	Corner Chain	cornerch	2	涂黑II	见cbanana	涂黑一些空格，使得所有留白格对角连通成一个整体。数字格不能涂黑。数字表示其所在的留白的连通组的面积。如果一个留白的连通组面积为偶数，则它必须是长方形；如果它的面积为奇数，则它不能是长方形。
tasquare	1	Tasquare	正方放置	2	涂黑II	色块是方形	涂黑一些格子，使得每一组涂黑的连通组都是正方形，且留白的格子连通成一个整体。有白色正方形的格子必须留白，且需要和至少一个涂黑正方形相邻。白色正方形里的数字表示与之相邻的所有涂黑正方形的面积之和。
antmill	1	Ant Mill	蚂蚁怪圈	2	涂黑II	色块是蚂蚁	涂黑一些1×2的长方形，每个涂黑的长方形必须和恰好另外两个涂黑的长方形接触，而且所有长方形必须对角连通成一个整体（形成一个环）。被□覆盖的两个格子要么都涂黑，要么都不涂黑。被×覆盖的两个格子必须一个涂黑，另一个不涂黑。
mochinyoro	1	Mochinyoro	藕断丝弯	2	涂黑II	见Mochikoro	涂黑一些空格，使得没有全部涂黑的2×2结构。所有留白格必须对角连通成一个整体，且每一组连通的留白格必须是一个长方形。每一组连通的留白格至多包含一个数字。数字表示其所在的留白的连通组格数。任意一组连通的涂黑格都不能是长方形。
binairo	0	Binairo	横竖无三	2	涂黑II	黑白规则交替	涂黑一些空格，使得没有全部涂黑或者全部留白的1×3或3×1的结构。每行和每列中必须恰有一半的格子涂黑。任意两行（从左到右）的涂黑情况必须不同，任意两列（从上到下）的涂黑情况也必须不同。有黑圈的格子必须涂黑，有白圈的格子必须留白。
scrin	1	Scrin	方形回路	2	涂黑II	色块是矩形	给一些格子涂色，使得每一组涂色的连通组都是长方形且至多包含一个圆圈。所有圆圈必须在涂色格内。每个涂色的长方形必须和恰好另外两个涂色的长方形接触，而且所有长方形必须对角连通成一个整体（形成一个环）。圈内的数字表示其所在的长方形的面积。
tetrochaink	0.8	Tetro Chain-K	四格骨牌链(暗)	2	涂黑II	色块是4mino	涂黑一些格子，使得每个涂黑的连通组均为四格骨牌。所有四格骨牌对角连通，任意两个对角相邻的四格骨牌不能全等。盘面内的点提示了其所接触的（至多）四格中涂黑格和留白格哪种更多：白色表示留白格更多，黑色表示涂黑格更多，灰色表示涂黑格和留白格一样多。
lookair	1	Look-Air	观云	2	涂黑II	色块是方形	涂黑一些格子，使得每一组涂黑的连通组都是正方形。在每行和每列内，任意两个仅由（至少一个）留白格分隔的涂黑格不能在两个全等的正方形里（也就是说任意两个全等的正方形都不能在对方的“视线”内）。数字表示此格以及与其相邻的（至多）四格中涂黑格的个数。
clouds	0	Clouds	云团	2	涂黑II	色块是矩形	涂黑一些格子，使得每组连通的黑格都是一个长和宽都至少为二的长方形（代表一个云团）。云团之间不能接触。盘面外的数字表示此行或此列内涂黑格的个数。一些格内的内容可能已经给出：带圆角的黑块表示必须是云团的一角，不带圆角的黑块表示是云团的一部分但不是一角，×表示必须留白。
aquarium	1	Aquarium	水族馆	2	涂黑II	色块是水体	涂黑一些格子（代表水），使得每个区域内的水体都处于稳定状态。准确来说，在中间没有粗格线的情况下，留白的格子和涂黑的格子只能纵向相邻且留白格在上（两格之间横向的边界称为“水面”），而区域内每一组涂黑的连通组的水面必须在同一高度。盘面外的数字表示此行或此列内涂黑格的个数。
shugaku	1	School Trip	修学旅行	2	涂黑II		在盘面里放置一些互不重叠的1×2的长方形（表示床，其中一个格子表示枕头），并将剩下的格子涂黑，使得所有涂黑格连通成一个整体，且没有全部涂黑的2×2结构。每张床必须与至少一个涂黑格相邻。数字表示与之相邻的（至多）四格中的枕头个数。一个竖着放置的床的枕头不能放在上半部分（也就是说，不存在床头朝北的床）。
sansaroad	0.8	Sansa Road	三叉路口	2	涂黑II	色块是一条路	涂黑一些空格，使得所有留白的格子连通成一个整体，且没有全部留白的2×2结构。盘面内的点提示了其所接触的（至多）四格中涂黑格和留白格哪种更多：白色表示留白格更多，黑色表示涂黑格更多，灰色表示涂黑格和留白格一样多。有白色三角形的格子（代表三叉路口）必须留白，且需要恰和三个留白格相邻。其余的留白格都必须恰和两个留白格相邻。
kurotto	1	Kurotto	凝块	3	涂黑III	黑块间求和	涂黑一些空格。数字表示与此格相邻的所有涂黑的连通组的总面积。
mines	1	Minesweeper	扫雷	3	放置	放置	在一些空格里放一枚地雷。数字表示在所有与此格接触的格中的总雷数。
nonogram	1	Nonogram	数织	3	涂黑III	见Minesweeper	涂黑一些空格，使得盘面外的数字依次表示此行或此列中每一段连续涂黑格的长度。
pentatouch	1	Penta Touch	pentatouch	3	放置	放置	把给出的形状放入盘面，使得不同形状在且仅在被标记出的格点上对角相邻。形状可以旋转或翻转。
batten	0.8	Battenberg Painting	双色蛋糕	3	涂黑III		涂黑一些格子，使得盘面外的数字表示此行或此列内涂黑格的个数。所有呈黑白相间棋盘格图案的2×2区域都已被标记。
kissing	0.8	Kissing Polyominoes	kissing	3	放置	放置	把给出的形状放入盘面，使得不同形状在且仅在被标记出的边界相邻。形状可以旋转或翻转。×表示此格不能被形状覆盖。
starbattle	1	Star Battle	星战	3	放置	放置	在一些格子内放置一颗星，使得每行、列、区域内的星数等于盘面外给出的数字。任意两颗星不能放在互相接触的格子内。
mrtile	0.8	Mirroring Tile	复制瓦片	3	涂黑III	黑块间全等	涂黑一些空格。数字表示其所在的涂黑的连通组的面积。每个涂黑的连通组需要与另一个与其全等的涂黑的连通组对角相邻。
ququ	1	Ququ	区区	3	涂黑III	黑块间不全等	涂黑一些格子，使得每一组连通的留白格恰好包含一个数字。数字表示其所在的留白的连通组格数。对角接触的涂黑的连通组不能以任何方式全等。
shimaguni	1	Shimaguni	岛国	3	涂黑III	黑块间不相等	在每个区域内涂黑恰好一组连通的格子，使得不同区域内涂黑的连通组不相邻。数字表示区域内涂黑格的个数。相邻区域内涂黑格的个数不能相同。
tents	1	Tents	帐篷	3	放置	放置	在盘面中的每颗树相邻的格子之一放置一顶帐篷。任意两顶帐篷不能放在同一格或者互相接触的格子内。盘面外的数字表示此行或此列内帐篷的个数。
kuroclone	1	Kuroclone	黑块克隆	3	涂黑III	黑块间全等	在每个区域内涂黑恰好两组连通的格子，使得这两组格子全等且不相邻。数字格不能涂黑。涂黑格不能隔区域边界相邻。数字表示其指向的相邻格所在的涂黑格连通组的面积。
magnets	1	Magnets	磁铁	3	放置	放置	在主盘面内一些两格的区域里放置一个加号和一个减号（每格一个符号），使得任意两个相邻的格子里不包含相同的符号。盘面外的数字表示此行或此列内加号或减号的个数。
gaps	0	Gaps	空隙	3	放置	放置	在一些格子里放置一颗星，使得每行和每列都分别有两颗星。任意两颗星不能放在互相接触的格子内。盘面外的数字表示此行或此列内两颗星之间的空格数（不包括两颗星本身）。
cocktail	1	Cocktail Lamp	鸡尾酒灯	3	涂黑III	黑块对角连通	在每个区域内涂黑至多一组连通的格子，使得不同区域内涂黑的连通组不相邻。数字表示区域内涂黑格的个数。所有涂黑格必须对角连通成一个整体。不能有全部涂黑的2×2结构。
pentopia	1	Pentopia	近视五格	3	放置	放置	把给出的形状中的一部分（不一定是全部）放入盘面，使得任意两个形状不接触（对角接触也不行）。有箭头的格子不能被覆盖。格子里的箭头指向所有横竖方向中离此格最近的被覆盖的格子。
tawa	1	Tawamurenga	砖墙	3	涂黑III		涂黑一些格子，使得没有同一行内连续三个格子都被涂黑。每个涂黑格（只要它不在最后一行）的下面至少有另一个涂黑格。数字格不能涂黑。数字表示与之相邻的（至多）六格中涂黑格的个数。
dosufuwa	1	Dosun-Fuwari	气球铅球	3	放置	放置	在每个区域中放置一个气球（○）和一个铅球（●）。铅球只能放在盘面的底部，黑色单元格的上面，或者另一个铅球的上面。气球只能放在盘面的顶部，黑色单元格的下面，或者另一个气球的下面。
stostone	1	Stostone	垒石	3	涂黑III	黑块间求和	在每个区域内涂黑恰好一组连通的格子，使得不同区域内涂黑的连通组不相邻。数字表示区域内涂黑格的个数。如果每一组涂黑格（像一块石头一样）不改变形状地垂直下落，它们必须恰好覆盖盘面的下半部分。
statuepark	1	Statue Park	雕像公园	3	放置	放置	把给出的形状放入盘面，使得任意两个形状不重叠也不相邻（但可以对角接触），而且剩下的没有被覆盖的格子连通成一个整体。形状可以旋转或翻转。有黑圈的格子必须被某个形状覆盖，而有白圈的格子不能被覆盖。
akari	1	Akari	美术馆	3	放置	放置	在一些空格内放置一个灯泡，以照亮所有空格。格子里的灯泡可以照亮所有从此格横竖能够直接连接到且不被黑格阻挡的空格，包括此格本身。任意两个灯泡不能互相照亮。黑格里的数字表示与之相邻的（至多）四格中的灯泡个数。
battleship	1	Battleships	战舰	3	放置	放置	把给出的形状（代表船）放入盘面，使得任意两条船不重叠也不接触。盘面外的数字表示此行或此列内有船的格数。有一些船的部分可能已经在盘面里给出，其中所有不和其他船格相邻的角用圆角表示。水波符号表示此格不能有船。
pencils	1	Pencils	铅笔	3	放置	放置	在盘面中放入一些铅笔。一根铅笔依次由一个1×N的笔杆、一个1×1的笔头、一条从笔尖开始，由N个单位线段相连而成的笔迹构成。铅笔（包括它们的笔迹）必须互不重叠地覆盖盘面上的所有格子。数字必须位于笔杆内，并且表示笔杆的长度。
evolmino	1	Evolmino	生长方块	3	涂黑III	黑块间做差	在一些空格内填入正方形，使得每一组连通的正方形都恰有一个正方形位于一条箭头上。每条箭头经过至少两组这样的连通正方形。在一条箭头上，每一组正方形（若不是第一组）必须与前一组形状完全相同（不允许旋转或翻转），并且再多出一个正方形。
interbd	1	International Borders	国界线	3	涂黑III	黑块们界定区域	涂黑一些格子，使得每个留白的连通组都包含且仅包含某一种颜色的所有提示。提示格不能涂黑。数字表示与此格相邻的（至多）四格中涂黑格的个数。每个涂黑格必须至少和两个留白的连通组相邻（也就是说，每个涂黑格都是某条“国界线”的一部分）。
tren	1	Tren	停车场	3	放置	放置	在盘面里放置一些互不重叠的1×2或1×3的长方形（表示车）。每辆车必须恰好包含一个数字，而每个数字也必须被一辆车覆盖。每辆车可以按照与它的两条长边平行的方向移动。车里的数字表示这辆车在不和其他车重叠的情况下可以前后移动的总格数。
chainedb	1	Chained Block	区块链	3	涂黑III	黑块间不全等	涂黑一些格子，使得每个涂黑的连通组恰好包含一个数字。数字表示其所在的涂黑的连通组的面积，问号可以表示任意数字。多个对角接触的涂黑连通组构成“链”，每个涂黑连通组都必须是某个“链”的一部分。同一个“链“中的两个涂黑连通组不能以任何方式全等。
martini	1	Martini	马提尼	3	涂黑III	黑块对角连通	在每个区域内涂黑至多一组连通的格子，使得不同区域内涂黑的连通组不相邻。所有涂黑格必须对角连通成一个整体。有黑圈的格子必须涂黑，有白圈的格子必须留白。白圈里的数字表示其所在的留白的连通组中的白圈个数，包括自身（这个连通组可能横跨多个区域）。
kinkonkan	1	Kin-Kon-Kan	金刚镜	3	放置	放置	在一些格子内填入一条对角线（代表镜子），使得每个区域恰有一面镜子。光束从网格外的字母出发垂直射入网格，并在遇到镜子时发生反射。从某个字母出发的光束必须在另一处相同字母的位置结束。数字表示光束被镜子反射的次数。每一面镜子至少被一束光使用一次。
moonlight	0	Moonlight	星光	3	放置	放置	在一些空格内放置一颗星或一朵云，使得每行和每列内的图形数量等于盘面外给出的列表。部分格内已放入了黑色圆圈（代表行星）。格子里的星可以照亮所有从此格横竖能够直接连接到且不被其他图形阻挡的行星。当行星被照亮时，其受照亮方向的两个象限呈白色。×表示此格不放置任何图形。
bosanowa	1	Bosanowa	邻差和	4	填写		在每个圆圈中填入一个正整数，使得每个数等于自身与横竖相邻的数之差的总和。
gokigen	1	Slant	斜线迷宫	4	填写		在每个格子中画一条对角线，使得对角线不形成环。圈中的数字表示从这个圈引出的斜线数量。
simplegako	1	Simple Gako	简单计数	4	填写		在每个空格里填数，使得每个数字等于其所在的行和列中包含这个数的总格数（包括此格本身）。
putteria	1	Putteria	面积填写	4	填写		在每个区域中的一格填上等于该区域面积的数字。填有数字的格子不能有公共边。每行和每列不能有重复数字。
suguru	0.8	Suguru/Capsules	数组/胶囊	4	填写		在每个空格里填一个数，使得每个区域里包含数字1~N，其中N是这个区域的总格数。接触的格子里不能有相同的数字。
sudoku	1	Sudoku	数独	4	填写		在每个空格内填一个1~N的数（其中N是盘面的边长），使得1~N在每行、每列、每个粗线围成的宫内都恰好出现一次。
meander	1	Meandering Numbers	蜿蜒	4	填写		在每个空格里填一个数，使得每个区域包含一条从1到N的横竖相连的链，其中N是这个区域的总格数。互相接触的格子里的数不能相同。
blind	0	Blind Spot	盲点	4	填写		在每个区域中放置一个箭头（↑ ↓ ← → 之一），使得每行每列恰好出现四种箭头各一次。箭头不能指向另一个箭头，除非有粗线阻挡。
fuzuli	0	Fuzuli	冗余	4	填写		在一些空格里填一个属于给出的列表中的数，使得每个数字在每行和每列都恰好出现一次。不能有全部填数的2×2结构。×表示此格不能填数。
doppelblock	1	Doppelblock	双黑格	4	填写		在格子内填入数字和黑格，使得每行每列均包含1~N-2和两个黑格（N为盘面边长）。盘面外的数字表示该行/列两个黑格之间的所有数字之和。
renban	1	Renban-Madoguchi	连番窗口	4	填写		在每个空格内填入一个正整数。每个区域内的所有数必须构成一个连续数字序列，顺序任意。被粗边框分隔的两个数之差必须等于分隔它们的边框的长度。
sukoro	1	Sukoro	数殖	4	填写		在一些空格里填数，使得所有有数字的格子连通成一个整体。每个数字必须等于与其相邻的（至多）四格中有数字的格数。相邻的格子里不能填相同的数字。
goishi	1	Goishi	捡棋子	4	填写		从1开始在每颗棋子上标数，表示捡走棋子的顺序。连续两个被捡走的棋子必须同行或同列，且中间不能有未捡的棋子。捡棋子的过程中不允许180°掉头。
kakuro	1	Kakuro	数和	4	填写		在每个空格内放置一个1~9之间的数码，使得每一段空格内的数码不重复。黑色三角形里的数字表示其（面对的）右方的横段或下方的纵段中所有数码之和。
easyasabc	1	Easy as ABC	简单字符	4	填写		在一些空格里填一个属于给出的列表中的字符，使得每个字符在每行和每列都恰好出现一次。盘面外的字符表示此行或此列中从这个方向看去遇到的第一个字符。
hanare	1	Hanare-gumi	差距一致	4	填写		在每个区域中的一格填上等于该区域面积的数字。若两个数字在同一行或同一列，且它们之间没有其他数字，则它们之间必须恰有N个空格，其中N为这两数之差。
r	0	Renban	连番	4	填写		在每个空格内填入一个1~N的数（其中N为盘面的边长），使得1~N在每行、每列都恰好出现一次。每个区域内的所有数必须构成一个连续数字序列，顺序任意。
